Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
472,Ronaldo Peña\Ronaldo-Pena,ve VEN,FW,Houston,22,1997,0.4,0.00,2.50,0.00,0.0,2.37,0.00,0.00,,8.1,0.00,0.00,0.00,0.50,0.50,0.15,-0.50,-0.50,Matches
473,Jason Pendant\Jason-Pendant,fr FRA,DF,NY Red Bulls,22,1997,17.9,0.00,0.45,0.00,0.0,0.45,0.00,0.00,,28.5,0.06,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
474,Cristian Penilla\Cristian-Penilla,ec ECU,FWMF,New England,28,1991,10.7,0.00,1.87,0.47,25.0,1.87,0.47,0.00,0.00,17.1,0.00,0.00,0.00,0.15,0.15,0.08,-0.15,-0.15,Matches
475,Ricardo Pepi\Ricardo-Pepi,us USA,FW,FC Dallas,17,2003,5.2,0.38,2.69,1.15,42.9,2.70,1.16,0.14,0.33,10.9,0.00,0.00,0.00,0.54,0.54,0.20,-0.15,-0.15,Matches
476,Andrés Perea\Andres-Perea,us USA,MFFW,Orlando City,19,2000,13.3,0.00,1.13,0.23,20.0,1.12,0.22,0.00,0.00,19.4,0.00,0.00,0.00,0.11,0.11,0.09,-0.11,-0.11,Matches
477,Mauricio Pereyra\Mauricio-Pereyra,uy URU,MF,Orlando City,29,1990,12.2,0.16,0.74,0.33,44.4,0.74,0.33,0.22,0.50,20.7,0.00,0.00,0.00,0.06,0.06,0.07,0.11,0.11,Matches
478,Adrien Perez\Adrien-Perez,us USA,FW,Los Angeles FC,24,1995,3.4,0.00,2.06,0.29,14.3,2.09,0.30,0.00,0.00,18.0,0.00,0.00,0.00,0.21,0.21,0.11,-0.21,-0.21,Matches
479,Tom Pettersson\Tom-Pettersson,se SWE,DF,FC Cincinnati,29,1990,12.7,0.00,0.55,0.08,14.3,0.55,0.08,0.00,0.00,11.5,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
480,Pablo Piatti\Pablo-Piatti,ar ARG,MFFW,Toronto FC,30,1989,14.7,0.27,2.59,1.09,42.1,2.58,1.09,0.11,0.25,19.1,0.14,0.00,0.00,0.27,0.27,0.10,0.01,0.01,Matches
481,Fafà Picault\Fafa-Picault,us USA,FW,FC Dallas,28,1991,11.5,0.26,2.00,0.70,34.8,2.00,0.69,0.13,0.38,13.7,0.00,0.00,0.00,0.21,0.21,0.11,0.05,0.05,Matches
482,Samuel Piette\Samuel-Piette,ca CAN,MFFW,Montreal,25,1994,21.5,0.05,0.88,0.28,31.6,0.88,0.28,0.05,0.17,18.6,0.00,0.00,0.00,0.08,0.08,0.09,-0.03,-0.03,Matches
483,Mauricio Pineda\Mauricio-Pineda,us USA,DFMF,Chicago,22,1997,22.4,0.13,0.40,0.13,33.3,0.40,0.13,0.33,1.00,14.0,0.00,0.00,0.00,0.11,0.11,0.26,0.03,0.03,Matches
484,Donovan Pines\Donovan-Pines,us USA,DF,D.C. United,21,1998,15.0,0.20,1.00,0.47,46.7,1.00,0.47,0.20,0.43,8.2,0.00,0.00,0.00,0.14,0.14,0.14,0.06,0.06,Matches
485,Rodolfo Pizarro\Rodolfo-Pizarro,mx MEX,MFFW,Miami,25,1994,17.5,0.23,1.71,0.57,33.3,1.71,0.57,0.13,0.40,15.8,0.00,0.00,0.00,0.23,0.23,0.14,-0.01,-0.01,Matches
486,Andy Polo\Andy-Polo,pe PER,MFFW,Portland,25,1994,8.4,0.12,1.07,0.24,22.2,1.07,0.24,0.11,0.50,17.7,0.00,0.00,0.00,0.05,0.05,0.05,0.07,0.07,Matches
487,Matt Polster\Matt-Polster,us USA,MF,New England,26,1993,8.4,0.00,0.36,0.00,0.0,0.36,0.00,0.00,,18.6,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
488,Paxton Pomykal\Paxton-Pomykal,us USA,FWMF,FC Dallas,20,1999,1.7,0.59,0.59,0.59,100.0,0.59,0.59,1.00,1.00,11.0,0.00,0.00,0.00,0.18,0.18,0.28,0.41,0.41,Matches
489,Justin Portillo\Justin-Portillo,us USA,MF,Real Salt Lake,27,1992,3.0,0.00,0.67,0.00,0.0,0.68,0.00,0.00,,29.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
490,Alvas Powell\Alvas-Powell,jm JAM,DF,Miami,25,1994,2.2,0.00,0.45,0.45,100.0,0.45,0.45,0.00,0.00,25.3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
491,Alejandro Pozuelo\Alejandro-Pozuelo,es ESP,MFFW,Toronto FC,28,1991,22.3,0.40,2.06,0.85,41.3,2.06,0.85,0.09,0.21,20.5,0.27,0.22,0.27,0.40,0.20,0.10,0.00,-0.02,Matches
